episode,score,score_avg
1,-1451.549826080583,-1451.549826080583
2,-883.691886901887,-1167.620856491235
3,-1193.8988442469688,-1176.3801857431463
4,-1156.8299626216901,-1171.4926299627823
5,-1582.9413628623959,-1253.7823765427052
6,-1206.95500004307,-1245.9778137927658
7,-1558.50120680752,-1290.6240127948736
8,-1343.4571189017015,-1297.228151058227
9,-1562.856196233274,-1326.7423782998987
10,-1666.224695295939,-1360.6906099995028
11,-1805.053945975964,-1396.0410219890412
12,-1522.5477504052676,-1459.926608339379
13,-1605.9406161765976,-1501.130785532342
14,-1800.2375687640806,-1565.471546146581
15,-1176.7201873329154,-1524.849428593633
16,-1643.2243192993142,-1568.4763605192572
17,-1391.7164124158567,-1551.797881080091
18,-1377.065999499625,-1555.1587691398836
19,-1514.8924985598305,-1550.3623993725391
20,-1587.3754877279039,-1542.4774786157357
21,-1561.898139054885,-1518.1618979236277
22,-1442.916224715841,-1510.198745354685
23,-1529.0526475585195,-1502.5099484928774
24,-1553.5715016724969,-1477.8433417837189
25,-1497.7243849986392,-1509.9437615502911
26,-1624.0425962961854,-1508.0255892499783
27,-1441.3073908994143,-1512.984687098334
28,-1480.8782307683646,-1523.3659102252082
29,-1589.249387582414,-1530.8015991274665
30,-1328.3452199711528,-1504.8985723517915
31,-933.0978453014338,-1442.0185429764463
32,-1221.68383691758,-1419.8953041966201
33,-1005.7152837091768,-1367.5615678116858
34,-1420.0572206995134,-1354.2101397143874
35,-1262.1004438637292,-1330.6477456008965
36,-1449.7540660555724,-1313.218892576835
37,-1445.7123567304577,-1313.6593891599396
38,-1255.1376104081976,-1291.0853271239228
39,-1021.7310331277689,-1234.3334916784584
40,-1462.575670982424,-1247.7565367795855
