episode,score,score_avg
1,-1041.8647573562964,-1041.8647573562964
2,-1178.4587790898515,-1110.161768223074
3,-1273.6293711696756,-1164.6509692052744
4,-1567.4955314820731,-1265.362109774474
5,-1181.0655249250246,-1248.5027928045843
6,-1153.3423642748394,-1232.64272138296
7,-1154.3964389677649,-1221.4646810379322
8,-1200.8179097327331,-1218.8838346247824
9,-1294.337223649829,-1227.267544516454
10,-1174.9678762989697,-1222.0375776947058
11,-1426.7340945810438,-1260.5245114171805
12,-1287.9825919235993,-1271.4768927005553
13,-1231.9110187009858,-1267.3050574536862
14,-1245.6385954195198,-1235.119363847431
15,-1204.4995972646686,-1237.4627710813952
16,-1424.206153420929,-1264.5491499960042
17,-1199.4449773886108,-1269.0540038380889
18,-1238.2676563600842,-1272.7989785008242
19,-1189.4953006642556,-1262.3147862022665
20,-1313.0612970448199,-1276.1241282768517
21,-1305.801269611055,-1264.0308457798526
22,-1482.787980253717,-1283.5113846128647
23,-1538.9837447810303,-1314.2186572208689
24,-953.5871794049185,-1285.0135156194087
25,-1081.4823576985796,-1272.7117916628
26,-1408.07149518223,-1271.0983258389301
27,-1126.7689526354209,-1263.830723363611
28,-1193.939262057911,-1259.3978839333936
29,-1047.0140890504747,-1245.1497627720157
30,-1160.3072230045848,-1229.8743553679922
31,-1581.5384499143167,-1257.4480733983182
32,-1131.2310514196633,-1222.2923805149128
33,-1228.9649973185171,-1191.2905057686617
34,-1150.8318133353014,-1211.0149691616996
35,-1500.5284938561417,-1252.919582777456
36,-1801.4304077770948,-1292.2554740369426
37,-1142.8755846232552,-1293.866137235726
38,-1066.9069483826665,-1281.1629058682015
39,-1069.5055370852058,-1283.412050671675
40,-1546.4933806859385,-1322.0306664398101
41,-1193.839697664878,-1283.2607912148662
42,-1223.0612675182585,-1292.4438128247257
43,-1048.3582615140344,-1274.3831392442776
44,-1300.0726071508748,-1289.3072186258348
45,-1644.2019108325753,-1303.674560323478
46,-1488.24797447334,-1272.3563169931026
47,-1504.7402379457963,-1308.542782325357
48,-1196.2374503741526,-1321.4758325245052
49,-1590.999183716047,-1373.6251971875895
50,-1043.5979013246063,-1323.3356492514563
51,-1202.6316397743174,-1324.2148434624003
52,-984.9019190358274,-1300.398908614157
53,-1527.9688663885452,-1348.3599691016082
54,-1195.3123333053002,-1337.8839417170507
55,-834.6966766645037,-1256.9334183002436
56,-1661.2891709072157,-1274.2375379436312
57,-862.6119909346373,-1210.0247132425154
58,-857.4005635019287,-1176.141024555293
59,-1018.5052512429401,-1118.8916313079822
60,-1486.9040319515411,-1163.2222443706755
61,-1206.8140746434972,-1163.6404878575936
62,-1194.8168253908057,-1184.6319784930915
63,-997.6889293075724,-1131.6039847849943
64,-1382.1528373925655,-1150.2880351937206
65,-1178.444940452408,-1184.662861572511
66,-1102.445967696081,-1128.7785412513977
67,-974.8967570824503,-1140.0070178661788
68,-973.7046319699606,-1151.637424712982
69,-993.3337711581014,-1149.120276704498
70,-1200.8610466891494,-1120.515978178259
71,-1401.9868911266983,-1140.033259826579
72,-998.2909541883527,-1120.380672706334
73,-1075.565363053642,-1128.168316080941
74,-1171.934700667363,-1107.1465024084207
75,-1719.4161426622156,-1161.2436226294017
76,-1572.8489421858067,-1208.2839200783742
77,-1751.2321397270532,-1285.9174583428344
78,-1529.3974192346245,-1341.4867370693007
79,-1207.1961711594602,-1362.8729770694365
80,-1530.5345488533271,-1395.8403272858545
81,-1357.9034716055241,-1391.431985333737
82,-1183.192024885369,-1409.9220924034385
83,-1132.5166820669517,-1415.6172243047695
84,-1081.6825558740377,-1406.592009825437
85,-1410.7981820687842,-1375.7302137660938
86,-1081.7338329752858,-1326.6187028450418
87,-1191.3958584174884,-1270.6350747140855
88,-1276.3279211666268,-1245.3281249072857
89,-1450.3191586358164,-1269.640423654921
90,-1152.598135218238,-1231.8467822914122
91,-1769.5820861688237,-1273.0146437477424
92,-1228.3145392216898,-1277.5268951813744
93,-1293.1532375787156,-1293.5905507325506
94,-1186.0453335450763,-1304.0268284996544
95,-1202.633721235485,-1283.2103824163246
96,-1186.792572717475,-1293.7162563905435
97,-1223.5338624760482,-1296.9300567963996
98,-949.0545326984942,-1264.202717949586
99,-922.2950869691857,-1211.400310782923
100,-1279.0425149656198,-1224.0447487576612
101,-1675.2993925489457,-1214.6164793956737
102,-1622.637035328115,-1254.048729006316
103,-1297.19284266091,-1254.4526895145355
104,-1688.9762341933026,-1304.745779579358
105,-1036.8336473856987,-1288.1657721943793
106,-888.2554626908303,-1258.312061191715
107,-1335.3981031164608,-1269.4984852557561
108,-1053.4070619912122,-1279.933738185028
109,-1179.9942562329868,-1305.7036551114084
110,-1031.7950450019628,-1280.9789081150425
111,-1040.359346399514,-1217.4849035000993
112,-1011.7668249234753,-1156.3978824596352
113,-1005.9436847563444,-1127.272966669179
114,-900.747543767467,-1048.4500976265954
115,-941.535203787177,-1038.920253266743
116,-1613.8823675995443,-1111.4829437576143
117,-985.1447268825035,-1076.4576061342186
118,-865.1497138094988,-1057.6318713160474
119,-1206.029668711813,-1060.23541256393
120,-1617.767020554796,-1118.8326101192135
121,-1097.6590945898386,-1124.562584938246
122,-1165.1772574210572,-1139.903628188004
123,-1217.3236865248618,-1161.0416283648558
124,-1116.9071712749867,-1182.6575911156076
125,-1010.733221738142,-1189.577392910704
126,-1292.1503793958166,-1157.4041940903314
127,-1227.4859559876618,-1181.6383170008473
128,-1259.2392477385351,-1221.047270393751
129,-1169.217851326759,-1217.3660886552454
130,-1257.8767356392502,-1181.377060163691
131,-1211.3604353491016,-1192.7471942396173
132,-1201.4987553797594,-1196.3793440354875
133,-1351.3308134504366,-1209.780056728045
134,-1191.9824655030825,-1217.2875861508546
135,-1163.0558120418043,-1232.5198451812207
136,-1199.0703827577022,-1223.2118455174093
137,-1102.8288884220585,-1210.746138760849
138,-1047.7391393103574,-1189.596127918031
139,-910.6276920799086,-1163.7371119933462
140,-1487.3450624328177,-1186.6839446727029
141,-1021.1178834885782,-1167.6596894866504
142,-1503.1349094446637,-1197.8233048931409
143,-987.3306086793019,-1161.4232844160274
144,-1040.1966940512227,-1146.2447072708414
145,-1070.926779162388,-1137.0318039828999
146,-950.2081626042657,-1112.1455819675562
147,-1314.1182104197712,-1133.2745141673272
148,-904.4881837171406,-1118.9494186080058
149,-1428.515073238041,-1170.7381567238192
150,-997.0074650747881,-1121.7043969880162
151,-1426.7806493263647,-1162.2706735717948
152,-990.6542623913664,-1111.0226088664651
153,-1006.9442646555476,-1112.9839744640897
154,-1022.5424917794345,-1111.218554236911
155,-1567.8540654441479,-1160.9112828650868
156,-1077.0330775415443,-1173.5937743588147
157,-1024.9039124465762,-1144.672344561495
158,-1027.9948869899267,-1157.0230148887738
159,-1076.393806345001,-1121.81088819947
160,-1198.608676670245,-1141.9710093590152
161,-943.7740102640049,-1093.6703454527794
162,-1066.6366745513908,-1101.268586668782
163,-979.4478515269473,-1098.518945355922
164,-1105.7193179633837,-1106.8366279743168
165,-1381.2427190985188,-1088.1754933397538
166,-1188.2889515734685,-1099.301080742946
167,-1266.5313827896844,-1123.463827777257
168,-907.2508303402411,-1111.3894221122887
169,-1232.0587657593128,-1126.9559180537196
170,-1203.95250228024,-1127.4903006147192
171,-1234.2198761388606,-1156.5348872022048
172,-1192.9866800154175,-1169.1698877486074
173,-1324.8090593770255,-1203.7060085336152
174,-1427.934147500269,-1235.9274914873038
175,-1574.3213685108256,-1255.2353564285345
176,-1155.9380419503896,-1252.0002654662264
177,-1059.2476729647735,-1231.2718944837357
178,-1253.463771619116,-1265.893188611623
179,-1181.469077324311,-1260.8342197681227
180,-1141.8864597519012,-1254.6276155152889
181,-1165.8161341108573,-1247.7872413124885
182,-1063.9333908255028,-1234.8819123934973
183,-1151.5556097106487,-1217.5565674268596
184,-1076.717084470987,-1182.4348611239316
185,-1220.4031215719676,-1147.0430364300455
186,-1258.2839575695077,-1157.2776279919572
187,-1132.4847730750016,-1164.60133800298
188,-1684.1088162019626,-1207.6658424612647
189,-865.8728591065882,-1176.1062206394924
190,-1173.1254073370435,-1179.2301153980068
191,-1156.102231429479,-1178.2587251298687
192,-1073.1607446405435,-1179.1814605113727
193,-1017.8775746733648,-1165.8136570076445
194,-1127.874175480104,-1170.9293661085562
195,-977.8203700097838,-1146.6710909523379
196,-1242.2518347147695,-1145.0678786668639
197,-980.0092579146611,-1129.8203271508298
198,-1336.3456287588351,-1095.0440084065172
199,-914.6703241968387,-1099.9237549155423
200,-1083.0380797336288,-1090.9150221552009
201,-976.4303760111043,-1072.9478366133633
202,-1369.2884624189828,-1102.5606083912073
203,-1050.920372587582,-1105.8648881826289
204,-1077.2542459886613,-1100.8028952334848
205,-1020.0518427868869,-1105.026042511195
206,-973.1788497588134,-1078.1187440155993
207,-1339.5803354645234,-1114.0758517705858
208,-1202.616475015923,-1100.7029363962943
209,-892.8655937477797,-1098.5224633513885
210,-988.7845493729263,-1089.0971103153183
211,-903.8852324709402,-1081.8425959613019
212,-1215.7948767927346,-1066.4932373986771
213,-1202.4426080844855,-1081.6454609483676
214,-1184.0810628790537,-1092.3281426374067
215,-1119.8379863524751,-1102.3067569939656
216,-1166.0124651471292,-1121.590118532797
217,-1155.6522239661028,-1103.197307382955
218,-1245.8270629399728,-1107.51836617536
219,-1219.3703796736725,-1140.1688447679492
220,-1444.7241404733786,-1185.7628038779944
221,-1188.147476825289,-1214.1890283134294
222,-1278.3976713410295,-1220.449307768259
223,-1010.4995159326052,-1201.254998553071
224,-1128.5436202843189,-1195.7012542935975
225,-1198.1183979357843,-1203.5292954519284
226,-1153.4959771505303,-1202.2776466522687
227,-1183.630206631348,-1205.075444918793
228,-1347.060258254557,-1215.1987644502515
229,-1202.5079364783637,-1213.5125201307205
230,-1248.5799363371527,-1193.898099717098
231,-944.5670988763434,-1169.5400619222032
232,-1308.355923993787,-1172.5358871874791
233,-1239.740270261898,-1195.4599626204085
234,-1186.8682308670168,-1201.292423678678
235,-1323.4331148069843,-1213.823895365798
236,-1255.5825187590558,-1224.0325495266509
237,-1299.2391914384712,-1235.5934480073631
238,-1296.0836224121297,-1230.4957844231205
239,-1207.5981074707447,-1231.0048015223583
240,-1205.4841739098458,-1226.6952252796277
241,-1069.1535209108945,-1239.1538674830829
242,-1184.659029721539,-1226.784178055858
243,-1164.0553851065167,-1219.21568954032
244,-1059.9668055550922,-1206.5255470091274
245,-979.9179184858046,-1172.1740273770095
246,-1302.0247793404756,-1176.8182534351513
247,-1047.5395155019287,-1151.6482858414972
248,-1126.656748156569,-1134.705598415941
249,-1129.911922159698,-1126.9369798848363
250,-1171.5179557970869,-1123.5403580735606
251,-1048.162931821343,-1121.4412991646054
252,-891.8872123538007,-1092.1641174278316
253,-1196.065138479422,-1095.365092765122
254,-963.8324532453612,-1085.751657534149
255,-877.0646714463743,-1075.4663328302058
256,-901.0524050523131,-1035.3690954013896
257,-1211.5344742793723,-1051.7685912791337
258,-974.5966843830043,-1036.5625849017777
259,-1389.8296613622913,-1062.5543588220369
260,-1049.4537716145496,-1050.347940403783
261,-1035.991257147557,-1049.1307729364046
262,-1477.6906874085917,-1107.7111204418838
263,-1364.8490070404612,-1124.5895072979877
264,-1054.3586400694737,-1133.6421259803988
265,-1067.829957970923,-1152.7186546328537
266,-1032.632684255647,-1165.876682553187
267,-976.4349423622497,-1142.3667293614749
268,-955.0742428837768,-1140.4144852115521
269,-957.0413212670535,-1097.1356512020284
270,-867.6635106632464,-1078.956625106898
271,-1286.9201069587018,-1104.0495100880123
272,-1028.584686654169,-1059.1389100125702
273,-1278.1551661732635,-1050.4695259258503
274,-1063.2673780653608,-1051.360399725439
275,-1261.8403166153594,-1070.7614355898827
276,-1708.5269830590344,-1138.3508654702216
277,-1067.119792416712,-1147.4193504756677
278,-1209.4075275375405,-1172.852678941044
279,-1723.417815047227,-1249.4903283190613
280,-1516.8844597422474,-1314.4124232269614
281,-1465.1962393357487,-1332.240036464666
282,-1014.6246584698252,-1330.8440336462318
283,-1069.482426790522,-1309.9767597079579
284,-1213.570282382013,-1325.0070501396228
285,-1620.7528877304242,-1360.8983072511296
286,-1180.107071514674,-1308.0563160966935
287,-1238.779979287943,-1325.2223347838167
288,-1235.8180998327737,-1327.86339201334
289,-1217.3562513893335,-1277.2572356475505
290,-1194.5388647598097,-1245.0226761493068
291,-1035.557403305047,-1202.0587925462366
292,-1186.3057607847497,-1219.226902777729
293,-1555.3649476501737,-1267.8151548636943
294,-1049.6359441424286,-1251.4217210397358
295,-888.1460432172771,-1178.1610365884212
296,-907.5464249981032,-1150.9049719367638
297,-1068.3227432657425,-1133.859248334544
298,-1015.9780032611345,-1111.87523867738
299,-1006.4194286489579,-1090.7815564033424
300,-960.5035350458146,-1067.378023431943
301,-1299.9718958407511,-1093.8194726855133
302,-1189.8256080182257,-1094.1714574088608
303,-817.0557808168941,-1020.340540725533
304,-1072.0658525294539,-1022.5835315642355
305,-1469.1366298169748,-1080.682590224205
306,-989.9770423116449,-1088.9256519555593
307,-1132.5908162417666,-1095.352459253162
308,-1067.0288183192026,-1100.4575407589687
309,-858.7743892501578,-1085.6930368190888
310,-1053.2971661507277,-1094.9723999295798
311,-1431.8336653592548,-1108.1585768814302
312,-1360.301805263796,-1125.2061966059873
313,-1334.5076145734763,-1176.9513799816455
314,-931.580459224956,-1162.902840651196
315,-913.9885518712433,-1107.3880328566224
316,-1095.8014708352512,-1117.9704757089835
317,-1190.0166047496089,-1123.7130545597674
318,-892.7006203971067,-1106.280234767558
319,-1021.8979664935644,-1122.5925924918986
320,-833.3107966291057,-1100.5939555397367
321,-1382.1802242088866,-1095.6286114246996
322,-1231.6418199695286,-1082.762612895273
323,-1012.5412755908665,-1050.5659789970118
324,-1036.837509733338,-1061.0916840478499
325,-882.396867580851,-1057.9325156188108
326,-1027.880789342052,-1051.1404474694907
327,-1139.4571546174325,-1046.0845024562732
328,-969.2904072603069,-1053.7434811425933
329,-1330.556789269246,-1084.6093634201613
330,-865.0130507898684,-1087.7795888362375
331,-1041.373130281254,-1053.6988794434744
332,-884.7783537932561,-1019.0125328258471
333,-991.072756309348,-1016.8656808976951
334,-1018.8531694039306,-1015.0672468647547
335,-1083.029963393246,-1035.130556445994
336,-812.4451013177865,-1013.5869876435676
337,-862.5021353408322,-985.8914857159074
338,-1038.3892477305037,-992.801369762927
339,-997.0545758844664,-959.4511484244492
340,-952.0055106576599,-968.1503944112285
341,-1031.67024578177,-967.1801059612799
342,-799.0278353865682,-958.6050541206112
343,-1144.9972619934224,-973.9975046890188
344,-998.742664739871,-971.9864542226126
345,-882.9735904795845,-951.9808169312466
346,-1084.2741461669605,-979.163721416164
347,-1121.3651944520393,-1005.0500273272846
348,-964.3811354075273,-997.6492160949871
349,-898.166225572183,-987.7603810637586
350,-985.1540350307433,-991.0752335010669
351,-970.727265673033,-984.9809354901932
352,-916.9141527617065,-996.7695672277072
353,-893.3947515233652,-971.6093161807014
354,-1223.8778605571547,-994.1228357624298
355,-987.9320059184129,-1004.6186773063127
356,-1248.952766332555,-1021.0865393228721
357,-887.0826444959447,-997.6582843272624
358,-1041.3791349285607,-1005.3580842793659
359,-968.886527161892,-1012.4301144383368
360,-985.6004505378494,-1012.4747559890475
361,-1178.6286058503254,-1033.2648900067766
362,-1372.1262388019475,-1078.7860986108008
363,-1178.6739929608145,-1107.3140227545457
364,-1339.1412576518908,-1118.840362464019
365,-1136.5758084385463,-1133.7047427160328
366,-1593.9167514831493,-1168.2011412310922
367,-1298.4248649374263,-1209.33536327524
368,-1169.4612749169407,-1222.1435772740783
369,-1395.060778921529,-1264.7610024500418
370,-1060.5096611348968,-1272.2519235097466
371,-1072.6455936466766,-1261.6536222893817
372,-1307.160835143053,-1255.1570819234926
373,-1051.9511608692271,-1242.4847987143335
374,-1172.5755069300853,-1225.828223642153
375,-1057.9057454793813,-1217.9612173462365
376,-1319.3239201867655,-1190.501934216598
377,-1100.0846162594457,-1170.6679093488
378,-1501.3450760509102,-1203.8562894621969
379,-753.0468630530593,-1139.6548978753501
380,-1418.1431676378074,-1175.418248525641
381,-1410.1432261468947,-1209.1680117756628
382,-1110.6808207196743,-1189.520010333325
383,-1463.3557870740794,-1230.6604729538103
384,-1237.311228047886,-1237.1340450655903
385,-1467.089032804665,-1278.0523737981187
