episode,score,score_avg
1,13.0,13.0
2,41.0,27.0
3,27.0,27.0
4,12.0,23.25
5,9.0,20.4
6,23.0,20.833333333333332
7,21.0,20.857142857142858
8,31.0,22.125
9,18.0,21.666666666666668
10,30.0,22.5
11,9.0,22.1
12,8.0,18.8
13,26.0,18.7
14,23.0,19.8
15,63.0,25.2
16,33.0,26.2
17,11.0,25.2
18,11.0,23.2
19,12.0,22.6
20,17.0,21.3
21,18.0,22.2
22,23.0,23.7
23,41.0,25.2
24,22.0,25.1
25,11.0,19.9
26,35.0,20.1
27,32.0,22.2
28,31.0,24.2
29,23.0,25.3
30,11.0,24.7
31,20.0,24.9
32,32.0,25.8
33,72.0,28.9
34,15.0,28.2
35,19.0,29.0
36,20.0,27.5
37,25.0,26.8
38,10.0,24.7
39,14.0,23.8
40,16.0,24.3
41,13.0,23.6
42,26.0,23.0
43,45.0,20.3
44,51.0,23.9
45,27.0,24.7
46,33.0,26.0
47,23.0,25.8
48,12.0,26.0
49,11.0,25.7
50,13.0,25.4
51,21.0,26.2
52,43.0,27.9
53,17.0,25.1
54,18.0,21.8
55,29.0,22.0
56,19.0,20.6
57,15.0,19.8
58,23.0,20.9
59,54.0,25.2
60,10.0,24.9
61,51.0,27.9
62,23.0,25.9
63,13.0,25.5
64,30.0,26.7
65,15.0,25.3
66,27.0,26.1
67,19.0,26.5
68,30.0,27.2
69,13.0,23.1
70,17.0,23.8
71,13.0,20.0
72,15.0,19.2
73,39.0,21.8
74,23.0,21.1
75,20.0,21.6
76,28.0,21.7
77,26.0,22.4
78,16.0,21.0
79,12.0,20.9
80,22.0,21.4
81,10.0,21.1
82,17.0,21.3
83,21.0,19.5
84,22.0,19.4
85,30.0,20.4
86,15.0,19.1
87,48.0,21.3
88,48.0,24.5
89,24.0,25.7
90,44.0,27.9
91,19.0,28.8
92,28.0,29.9
93,44.0,32.2
94,49.0,34.9
95,14.0,33.3
96,28.0,34.6
97,54.0,35.2
98,12.0,31.6
99,22.0,31.4
100,24.0,29.4
101,64.0,33.9
102,55.0,36.6
103,26.0,34.8
104,42.0,34.1
105,40.0,36.7
106,12.0,35.1
107,11.0,30.8
108,32.0,32.8
109,40.0,34.6
110,24.0,34.6
111,23.0,30.5
112,58.0,30.8
113,35.0,31.7
114,31.0,30.6
115,42.0,30.8
116,31.0,32.7
117,36.0,35.2
118,14.0,33.4
119,43.0,33.7
120,33.0,34.6
121,20.0,34.3
122,20.0,30.5
123,41.0,31.1
124,14.0,29.4
125,20.0,27.2
126,26.0,26.7
127,24.0,25.5
128,75.0,31.6
129,67.0,34.0
130,88.0,39.5
131,29.0,40.4
132,58.0,44.2
133,23.0,42.4
134,21.0,43.1
135,49.0,46.0
136,34.0,46.8
137,82.0,52.6
138,63.0,51.4
139,19.0,46.6
140,47.0,42.5
141,13.0,40.9
142,105.0,45.6
143,67.0,50.0
144,35.0,51.4
145,56.0,52.1
146,19.0,50.6
147,17.0,44.1
148,41.0,41.9
149,164.0,56.4
150,16.0,53.3
151,32.0,55.2
152,11.0,45.8
153,92.0,48.3
154,33.0,48.1
155,76.0,50.1
156,51.0,53.3
157,111.0,62.7
158,45.0,63.1
159,19.0,48.6
160,100.0,57.0
161,16.0,55.4
162,36.0,57.9
163,43.0,53.0
164,44.0,54.1
165,52.0,51.7
166,31.0,49.7
167,41.0,42.7
168,31.0,41.3
169,87.0,48.1
170,50.0,43.1
171,42.0,45.7
172,13.0,43.4
173,58.0,44.9
174,13.0,41.8
175,32.0,39.8
176,19.0,38.6
177,54.0,39.9
178,102.0,47.0
179,50.0,43.3
180,40.0,42.3
181,38.0,41.9
182,36.0,44.2
183,40.0,42.4
184,41.0,45.2
185,29.0,44.9
186,36.0,46.6
187,47.0,45.9
188,34.0,39.1
189,18.0,35.9
190,41.0,36.0
191,62.0,38.4
192,56.0,40.4
193,43.0,40.7
194,49.0,41.5
195,75.0,46.1
196,48.0,47.3
197,73.0,49.9
198,35.0,50.0
199,100.0,58.2
200,21.0,56.2
201,28.0,52.8
202,15.0,48.7
203,64.0,50.8
204,33.0,49.2
205,23.0,44.0
206,23.0,41.5
207,60.0,40.2
208,108.0,47.5
209,40.0,41.5
210,107.0,50.1
211,109.0,58.2
212,37.0,60.4
213,86.0,62.6
214,31.0,62.4
215,41.0,64.2
216,16.0,63.5
217,65.0,64.0
218,77.0,60.9
219,94.0,66.3
220,23.0,57.9
221,153.0,62.3
222,44.0,63.0
223,118.0,66.2
224,34.0,66.5
225,50.0,67.4
226,82.0,74.0
227,77.0,75.2
228,55.0,73.0
229,63.0,69.9
230,44.0,72.0
231,36.0,60.3
232,33.0,59.2
233,72.0,54.6
234,175.0,68.7
235,34.0,67.1
236,64.0,65.3
237,83.0,65.9
238,24.0,62.8
239,26.0,59.1
240,73.0,62.0
241,124.0,70.8
242,86.0,76.1
243,28.0,71.7
244,185.0,72.7
245,85.0,77.8
246,118.0,83.2
247,128.0,87.7
248,96.0,94.9
249,136.0,105.9
250,72.0,105.8
251,146.0,108.0
252,96.0,109.0
253,121.0,118.3
254,39.0,103.7
255,117.0,106.9
256,79.0,103.0
257,118.0,102.0
258,25.0,94.9
259,126.0,93.9
260,94.0,96.1
261,131.0,94.6
262,32.0,88.2
263,37.0,79.8
264,151.0,91.0
265,40.0,83.3
266,18.0,77.2
267,99.0,75.3
268,115.0,84.3
269,64.0,78.1
270,96.0,78.3
271,120.0,77.2
272,224.0,96.4
273,126.0,105.3
274,151.0,105.3
275,30.0,104.3
276,75.0,110.0
277,113.0,111.4
278,76.0,107.5
279,130.0,114.1
280,104.0,114.9
281,101.0,113.0
282,141.0,104.7
283,163.0,108.4
284,32.0,96.5
285,91.0,102.6
286,119.0,107.0
287,101.0,105.8
288,129.0,111.1
289,111.0,109.2
290,94.0,108.2
291,182.0,116.3
292,106.0,112.8
293,169.0,113.4
294,93.0,119.5
295,105.0,120.9
296,83.0,117.3
297,137.0,120.9
298,111.0,119.1
299,227.0,130.7
300,181.0,139.4
301,102.0,131.4
302,277.0,148.5
303,118.0,143.4
304,133.0,147.4
305,85.0,145.4
306,172.0,154.3
307,122.0,152.8
308,210.0,162.7
309,199.0,159.9
310,215.0,163.3
311,186.0,171.7
312,184.0,162.4
313,171.0,167.7
314,316.0,186.0
315,110.0,188.5
316,92.0,180.5
317,221.0,190.4
318,221.0,191.5
319,198.0,191.4
320,300.0,199.9
321,104.0,191.7
322,303.0,203.6
323,210.0,207.5
324,157.0,191.6
325,297.0,210.3
326,100.0,211.1
327,104.0,199.4
328,312.0,208.5
329,131.0,201.8
330,274.0,199.2
331,286.0,217.4
332,254.0,212.5
333,97.0,201.2
334,195.0,205.0
335,596.0,234.9
336,393.0,264.2
337,466.0,300.4
338,88.0,278.0
339,401.0,305.0
340,464.0,324.0
341,320.0,327.4
342,683.0,370.3
343,242.0,384.8
344,439.0,409.2
345,416.0,391.2
346,381.0,390.0
347,408.0,384.2
348,138.0,389.2
349,403.0,389.4
350,156.0,358.6
351,259.0,352.5
352,236.0,307.8
353,311.0,314.7
354,161.0,286.9
355,190.0,264.3
356,211.0,247.3
357,473.0,253.8
358,279.0,267.9
359,236.0,251.2
360,211.0,256.7
361,164.0,247.2
362,534.0,277.0
363,264.0,272.3
364,220.0,278.2
365,361.0,295.3
366,780.0,352.2
367,335.0,338.4
368,590.0,369.5
369,212.0,367.1
370,406.0,386.6
371,376.0,407.8
372,337.0,388.1
373,1000.0,461.7
374,394.0,479.1
375,1000.0,543.0
376,616.0,526.6
377,442.0,537.3
378,435.0,521.8
379,326.0,533.2
380,153.0,507.9
381,527.0,523.0
382,367.0,526.0
383,422.0,468.2
384,777.0,506.5
385,1000.0,506.5
386,364.0,481.3
387,461.0,483.2
388,283.0,468.0
389,188.0,454.2
390,211.0,460.0
391,310.0,438.3
392,204.0,422.0
393,426.0,422.4
394,311.0,375.8
395,781.0,353.9
396,578.0,375.3
397,366.0,365.8
398,209.0,358.4
399,296.0,369.2
400,421.0,390.2
401,392.0,398.4
402,1000.0,478.0
403,830.0,518.4
404,309.0,518.2
405,815.0,521.6
406,140.0,477.8
407,415.0,482.7
408,607.0,522.5
409,552.0,548.1
410,758.0,581.8
411,975.0,640.1
412,788.0,618.9
413,350.0,570.9
414,930.0,633.0
415,562.0,607.7
416,651.0,658.8
417,905.0,707.8
418,1000.0,747.1
419,1000.0,791.9
420,1000.0,816.1
421,1000.0,818.6
422,540.0,793.8
423,1000.0,858.8
424,798.0,845.6
425,682.0,857.6
426,927.0,885.2
427,1000.0,894.7
428,736.0,868.3
429,738.0,842.1
430,1000.0,842.1
431,1000.0,842.1
432,1000.0,888.1
433,1000.0,888.1
434,1000.0,908.3
435,238.0,863.9
436,580.0,829.2
437,1000.0,829.2
438,1000.0,855.6
439,721.0,853.9
440,967.0,850.6
441,1000.0,850.6
442,1000.0,850.6
443,493.0,799.9
444,559.0,755.8
445,1000.0,832.0
446,1000.0,874.0
447,961.0,870.1
448,830.0,853.1
449,1000.0,881.0
450,737.0,858.0
451,1000.0,858.0
452,1000.0,858.0
453,294.0,838.1
454,1000.0,882.2
455,837.0,865.9
456,1000.0,865.9
457,747.0,844.5
458,1000.0,861.5
459,1000.0,861.5
460,1000.0,887.8
461,1000.0,887.8
462,1000.0,887.8
463,1000.0,958.4
464,1000.0,958.4
465,1000.0,974.7
466,1000.0,974.7
467,1000.0,1000.0
468,1000.0,1000.0
469,1000.0,1000.0
470,1000.0,1000.0
471,807.0,980.7
472,213.0,902.0
473,426.0,844.6
474,1000.0,844.6
475,1000.0,844.6
476,1000.0,844.6
477,1000.0,844.6
478,1000.0,844.6
479,1000.0,844.6
480,1000.0,844.6
481,1000.0,863.9
482,820.0,924.6
483,1000.0,982.0
484,1000.0,982.0
485,1000.0,982.0
486,649.0,946.9
487,752.0,922.1
488,1000.0,922.1
489,258.0,847.9
490,1000.0,847.9
491,1000.0,847.9
492,1000.0,865.9
493,1000.0,865.9
494,613.0,827.2
495,887.0,815.9
496,1000.0,851.0
